Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_us,Device_Time_us,Speedup
peppers_gray.pgm,512,512,1.5,70,100,36.298367,1.462784,24.81
peppers_gray.pgm,512,512,1.5,70,120,29.792864,1.425984,20.89
peppers_gray.pgm,512,512,2.0,30,80,38.346527,1.455264,26.35
peppers_gray.pgm,512,512,2.0,30,100,31.304352,1.449856,21.59
peppers_gray.pgm,512,512,2.0,30,120,31.115711,1.457856,21.34
peppers_gray.pgm,512,512,2.0,50,80,31.147072,1.454048,21.42
peppers_gray.pgm,512,512,2.0,50,100,29.623264,1.421664,20.83
peppers_gray.pgm,512,512,2.0,50,120,31.336449,1.442304,21.72
peppers_gray.pgm,512,512,2.0,70,80,29.642080,1.441920,20.55
peppers_gray.pgm,512,512,2.0,70,100,36.669537,1.444768,25.38
peppers_gray.pgm,512,512,2.0,70,120,29.827583,1.407488,21.19
peppers_gray.pgm,512,512,2.5,30,80,30.901249,1.429984,21.60
peppers_gray.pgm,512,512,2.5,30,100,36.528992,1.464160,24.94
peppers_gray.pgm,512,512,2.5,30,120,30.979776,1.439264,21.52
peppers_gray.pgm,512,512,2.5,50,80,37.606750,1.466336,25.64
peppers_gray.pgm,512,512,2.5,50,100,36.803616,1.414880,26.01
peppers_gray.pgm,512,512,2.5,50,120,30.860161,1.445312,21.35
peppers_gray.pgm,512,512,2.5,70,80,30.212704,1.446464,20.88
peppers_gray.pgm,512,512,2.5,70,100,30.185633,1.419776,21.26
peppers_gray.pgm,512,512,2.5,70,120,30.270241,1.426112,21.22
pirate.pgm,512,512,0.5,30,80,36.751007,1.463168,25.11
pirate.pgm,512,512,0.5,30,100,37.342335,1.420800,26.28
pirate.pgm,512,512,0.5,30,120,29.770847,1.454528,20.46
pirate.pgm,512,512,0.5,50,80,31.209633,1.470208,21.22
pirate.pgm,512,512,0.5,50,100,44.536865,1.463424,30.43
pirate.pgm,512,512,0.5,50,120,30.360384,1.430016,21.23
pirate.pgm,512,512,0.5,70,80,29.767136,1.442528,20.63
pirate.pgm,512,512,0.5,70,100,29.721760,1.431520,20.76
pirate.pgm,512,512,0.5,70,120,30.933216,1.444416,21.41
pirate.pgm,512,512,1.0,30,80,35.825825,1.433216,24.99
pirate.pgm,512,512,1.0,30,100,32.551777,1.518944,21.43
pirate.pgm,512,512,1.0,30,120,29.944321,1.536672,19.48
pirate.pgm,512,512,1.0,50,80,30.760672,1.427968,21.54
pirate.pgm,512,512,1.0,50,100,30.200224,1.453344,20.77
pirate.pgm,512,512,1.0,50,120,29.730623,1.425888,20.85
pirate.pgm,512,512,1.0,70,80,31.381887,1.449376,21.65
pirate.pgm,512,512,1.0,70,100,31.017984,1.449120,21.40
pirate.pgm,512,512,1.0,70,120,31.096865,1.436608,21.64
pirate.pgm,512,512,1.5,30,80,29.587393,1.418368,20.86
pirate.pgm,512,512,1.5,30,100,31.145599,1.456288,21.38
pirate.pgm,512,512,1.5,30,120,30.050753,1.444224,20.80
pirate.pgm,512,512,1.5,50,80,31.048672,1.436992,21.60
pirate.pgm,512,512,1.5,50,100,31.156832,1.460832,21.32
pirate.pgm,512,512,1.5,50,120,30.164415,1.451680,20.77
pirate.pgm,512,512,1.5,70,80,30.933344,1.436544,21.53
pirate.pgm,512,512,1.5,70,100,29.716736,1.415456,20.99
pirate.pgm,512,512,1.5,70,120,29.888033,1.434528,20.83
pirate.pgm,512,512,2.0,30,80,29.691040,1.430208,20.75
pirate.pgm,512,512,2.0,30,100,31.053600,1.426720,21.76
pirate.pgm,512,512,2.0,30,120,31.042721,1.427168,21.75
pirate.pgm,512,512,2.0,50,80,29.800129,1.413344,21.08
pirate.pgm,512,512,2.0,50,100,37.541695,1.460160,25.71
pirate.pgm,512,512,2.0,50,120,30.948032,1.443488,21.43
pirate.pgm,512,512,2.0,70,80,36.624928,1.445568,25.33
pirate.pgm,512,512,2.0,70,100,30.160831,1.427616,21.12
pirate.pgm,512,512,2.0,70,120,30.199488,1.445984,20.88
pirate.pgm,512,512,2.5,30,80,30.119808,1.440608,20.90
pirate.pgm,512,512,2.5,30,100,30.721920,1.453312,21.13
pirate.pgm,512,512,2.5,30,120,31.003231,1.427584,21.71
pirate.pgm,512,512,2.5,50,80,29.817505,1.426688,20.89
pirate.pgm,512,512,2.5,50,100,29.745056,1.430720,20.79
pirate.pgm,512,512,2.5,50,120,31.076193,1.426336,21.78
pirate.pgm,512,512,2.5,70,80,30.079744,1.451136,20.72
pirate.pgm,512,512,2.5,70,100,29.732704,1.425280,20.86
pirate.pgm,512,512,2.5,70,120,29.959681,1.436160,20.86
walkbridge.pgm,512,512,0.5,30,80,31.052032,1.436384,21.61
walkbridge.pgm,512,512,0.5,30,100,31.163584,1.466464,21.25
walkbridge.pgm,512,512,0.5,30,120,29.946625,1.434464,20.87
walkbridge.pgm,512,512,0.5,50,80,31.115616,1.451264,21.44
walkbridge.pgm,512,512,0.5,50,100,30.990145,1.432064,21.64
walkbridge.pgm,512,512,0.5,50,120,31.314688,1.443040,21.70
walkbridge.pgm,512,512,0.5,70,80,30.769567,1.437952,21.39
walkbridge.pgm,512,512,0.5,70,100,37.164864,1.541728,24.10
walkbridge.pgm,512,512,0.5,70,120,29.875105,1.431232,20.87
walkbridge.pgm,512,512,1.0,30,80,30.611744,1.415488,21.62
walkbridge.pgm,512,512,1.0,30,100,29.699137,1.422976,20.87
walkbridge.pgm,512,512,1.0,30,120,29.784767,1.428128,20.85
walkbridge.pgm,512,512,1.0,50,80,31.058847,1.417856,21.90
walkbridge.pgm,512,512,1.0,50,100,30.191263,1.460768,20.66
walkbridge.pgm,512,512,1.0,50,120,30.543360,1.459296,20.93
walkbridge.pgm,512,512,1.0,70,80,30.954208,1.432160,21.61
walkbridge.pgm,512,512,1.0,70,100,31.186432,1.451360,21.48
walkbridge.pgm,512,512,1.0,70,120,37.637024,1.458816,25.79
walkbridge.pgm,512,512,1.5,30,80,30.970848,1.434016,21.59
walkbridge.pgm,512,512,1.5,30,100,29.932673,1.420320,21.07
walkbridge.pgm,512,512,1.5,30,120,30.096289,1.443712,20.84
walkbridge.pgm,512,512,1.5,50,80,29.875521,1.422400,21.00
walkbridge.pgm,512,512,1.5,50,100,30.524256,1.476256,20.67
walkbridge.pgm,512,512,1.5,50,120,30.950369,1.437248,21.53
walkbridge.pgm,512,512,1.5,70,80,29.790049,1.440032,20.68
walkbridge.pgm,512,512,1.5,70,100,30.939585,1.463648,21.13
walkbridge.pgm,512,512,1.5,70,120,30.833887,1.444192,21.35
walkbridge.pgm,512,512,2.0,30,80,30.088768,1.418208,21.21
walkbridge.pgm,512,512,2.0,30,100,37.349918,1.448672,25.78
walkbridge.pgm,512,512,2.0,30,120,29.742048,1.457248,20.40
walkbridge.pgm,512,512,2.0,50,80,30.980640,1.451648,21.34
walkbridge.pgm,512,512,2.0,50,100,30.755136,1.440320,21.35
walkbridge.pgm,512,512,2.0,50,120,30.972448,1.417728,21.84
walkbridge.pgm,512,512,2.0,70,80,31.285473,1.452128,21.54
walkbridge.pgm,512,512,2.0,70,100,30.984192,1.440064,21.51
walkbridge.pgm,512,512,2.0,70,120,38.284832,1.453056,26.34
walkbridge.pgm,512,512,2.5,30,80,31.046207,1.449312,21.42
walkbridge.pgm,512,512,2.5,30,100,31.212288,1.440800,21.66
walkbridge.pgm,512,512,2.5,30,120,31.294592,1.443104,21.68
walkbridge.pgm,512,512,2.5,50,80,30.048672,1.453696,20.67
walkbridge.pgm,512,512,2.5,50,100,29.894464,1.444544,20.69
walkbridge.pgm,512,512,2.5,50,120,35.736511,1.440960,24.80
walkbridge.pgm,512,512,2.5,70,80,29.957439,1.409600,21.25
walkbridge.pgm,512,512,2.5,70,100,29.591776,1.416544,20.89
walkbridge.pgm,512,512,2.5,70,120,30.012159,1.451584,20.67
